"targetId","comparatorId","outcomeIds","excludedCovariateConceptIds","includedCovariateConceptIds"
"43009003","961047","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"953076","961047","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"950696","961047","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"19011685","961047","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"997276","961047","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"961047","43009003","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"953076","43009003","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"950696","43009003","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"19011685","43009003","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"997276","43009003","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"961047","953076","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"43009003","953076","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"950696","953076","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"19011685","953076","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"997276","953076","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"961047","950696","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"43009003","950696","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
